"GEOID","NAME","acs","census","pep","lon","lat","worldpop","fb"
"21073","Franklin County, Kentucky",49067,49285,49253,-84.8770812037364,38.2296242127311,49058.2312238216,49571.922046913
"21075","Fulton County, Kentucky",6858,6813,6807,-89.1246619722095,36.5753836985777,7408.92731524201,6337.68554805012
"21077","Gallatin County, Kentucky",8428,8589,8612,-84.8553799704497,38.7461090576853,8674.75828450173,8865.43487875959
"21079","Garrard County, Kentucky",16842,16912,16941,-84.5366441613235,37.6404330637516,16899.0086244941,17835.091050265
"21081","Grant County, Kentucky",24604,24662,24677,-84.6141606676231,38.6404686852155,24175.0342601854,25554.0674506374
"21083","Graves County, Kentucky",36958,37121,37262,-88.6475689587173,36.7260598956355,37390.919576332,36751.2566633846
"21085","Grayson County, Kentucky",25540,25746,25786,-86.3439050689363,37.4705905564977,25823.9943622053,26370.6850253812
"21087","Green County, Kentucky",11377,11258,11230,-85.5651909903048,37.2666794320255,11428.9403725564,10985.9034255674
"21089","Greenup County, Kentucky",36962,36910,36885,-82.9082788180758,38.5486619506704,38017.827242136,36493.8530558803
"21091","Hancock County, Kentucky",8555,8565,8551,-86.7832681972916,37.8474100636227,8650.4482820984,8477.18959936997
"21093","Hardin County, Kentucky",100876,105543,106950,-85.9713995964356,37.7030117020965,105419.480174258,111176.537419853
"21095","Harlan County, Kentucky",29688,29278,29222,-83.209584334311,36.8578980681381,29309.7464135444,26998.7658503847
"21097","Harrison County, Kentucky",18761,18846,18810,-84.3300282090059,38.4375268966359,18901.2117770016,19076.2487685147
"21099","Hart County, Kentucky",18201,18199,18188,-85.8877626945832,37.3039809798662,18188.4979658499,18377.8507998496
"21101","Henderson County, Kentucky",45943,46250,46260,-87.5732657529362,37.7950342979261,46393.2896129013,46409.6096031002
"21103","Henry County, Kentucky",15474,15416,15376,-85.1209796686097,38.4389179504894,15416.1542657018,15428.0547410241
"21105","Hickman County, Kentucky",4949,4902,4860,-88.9275573903115,36.6789511520262,4943.19662249694,4596.37379202198
"21107","Hopkins County, Kentucky",46886,46920,46841,-87.5411716520048,37.3082343741824,46882.1441143313,46530.0390283374
"21109","Jackson County, Kentucky",13560,13494,13480,-84.003096316407,37.4220800678931,13539.6051362958,13310.3102763018
"21111","Jefferson County, Kentucky",729452,741096,742054,-85.664496586989,38.1800667261756,742775.659021877,758034.738938416
"21113","Jessamine County, Kentucky",47073,48586,48682,-84.579142459876,37.8705182247245,50630.1909488142,52362.7544373867
"21115","Johnson County, Kentucky",23325,23356,23385,-82.8259000243908,37.8470782372565,23387.3324575834,22943.2655915218
"21117","Kenton County, Kentucky",158034,159720,159961,-84.5288604509199,38.9300556648235,161572.952977419,161372.12983669
"21119","Knott County, Kentucky",16587,16346,16355,-82.9494809058381,37.361490169118,16473.9936347131,15513.2873307646
"21121","Knox County, Kentucky",31765,31883,31851,-83.8493896368909,36.8965446563461,31726.1247578291,31451.7221960742
"21123","Larue County, Kentucky",14080,14193,14169,-85.7096184522564,37.5479587955434,14073.6404673532,14471.0813780822
"21125","Laurel County, Kentucky",58155,58849,58998,-84.1108774585495,37.1130151051355,58843.3351499412,61472.9172221405
"21127","Lawrence County, Kentucky",15841,15860,15866,-82.7269435961319,38.0679304598633,15645.2694194801,15771.2603433793
"21129","Lee County, Kentucky",7865,7887,7717,-83.7045689612334,37.5984765139644,7884.59805897903,7754.56610875278
"21131","Leslie County, Kentucky",11470,11310,11278,-83.3742362791574,37.0961802956842,11320.041978308,10587.5983996954
"21133","Letcher County, Kentucky",24462,24519,24534,-82.8489387860594,37.126354396701,24543.2231087461,23750.4092302838
"21135","Lewis County, Kentucky",13968,13870,13837,-83.3698219243851,38.5398712291216,14120.2873592079,13621.132336865
"21137","Lincoln County, Kentucky",24779,24742,24724,-84.663634177613,37.458161765464,24707.6564745903,25134.8587177868
"21139","Livingston County, Kentucky",9514,9519,9520,-88.3592992221602,37.2058076709044,9612.39652969362,9273.51211067514
"21141","Logan County, Kentucky",26838,26835,26851,-86.8759919946448,36.8564705749238,26767.3755978625,26583.1677347315
"21143","Lyon County, Kentucky",8367,8314,8329,-88.0769220963943,37.0150047546247,8302.6525189206,8333.89508830419
"21145","McCracken County, Kentucky",65217,65565,65515,-88.710775145465,37.0602439482852,65856.4185557128,64726.3001818971
"21147","McCreary County, Kentucky",18122,18306,18328,-84.4812227435202,36.7424131387564,18271.4317270466,18694.5205122577
"21149","McLean County, Kentucky",9635,9531,9515,-87.2668231115299,37.5271468914912,9595.21003882587,9199.04120684981
"21151","Madison County, Kentucky",81580,82916,83468,-84.2757995948028,37.7206677897922,82811.7117960432,88683.3906680342
"21153","Magoffin County, Kentucky",13294,13333,13306,-83.0557124094396,37.7067935660102,13322.0718836784,13142.4861282643
"21155","Marion County, Kentucky",19619,19820,19840,-85.2765057099593,37.5578675388518,19946.8942413628,20438.2048045755
"21157","Marshall County, Kentucky",31386,31448,31451,-88.3257086768061,36.8803677304277,31462.5611574408,31731.0514401534
"21159","Martin County, Kentucky",13138,12929,12895,-82.5066808028317,37.8031008544187,12072.513498418,12932.0373453786
"21161","Mason County, Kentucky",17362,17490,17505,-83.8085509234375,38.6009334362633,17478.9093599282,17518.1770119508
"21163","Meade County, Kentucky",28907,28602,28714,-86.2154895577706,37.9838992757554,28888.4490220202,28405.4933203354
"21165","Menifee County, Kentucky",6427,6306,6371,-83.5980995926132,37.948034378389,6305.1069311318,6123.85768676463
